description,num_pages,book_Title,Book_Author,year_of_Publication,image,categoryname,price,inStock,category
lyrical beautifully written tale life africa africa evokes deep sense mystery place retains world lost space root tradition awesome beauty true wilderness rare animal extraordinary people wonderful haunting collection story kuki gallmann writes life africa every day brings challenge adventure african night treasury memory fascinating people place brought life healing power africa embrace land place mystery superstition danger beauty,336,african nights,kuki gallmann,2000,http://books.google.com/books/content?id=MRgktwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,2066,23,
mark twain autobiography classic american letter ranked autobiography benjamin franklin henry adam mark greatness itstyle scope imagination laughter tragedyfrom introduction charles neider mark twain figure larger fife massive talent eruptive temperament unpredictable action crafted story heroism adventure tragedy comedy reflected changing america time tell storywhich includes sixteen page photoswith flair brought fiction writing autobiography deathbed twain vowed free frank unembarrassed recounting life experience twain match expanding america riverboats gold rush vast westward movement provided material novel served inspire beloved uniquely american autobiography,508,the autobiography of mark twain,charles neider,2000,http://books.google.com/books/content?id=5GboyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,2632,21,
story young couple brooklyn marry young little money face bitter parental opposition determined make something life together,296,joy in the morning,betty smith,2000,http://books.google.com/books/content?id=w2uMGXpNlzAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2350,28,
beauty linger visit yet beauty visitation affect u invite u rhythm call u feel think act beautifully world create live life awakens beautiful beauty gentle urgent call awaken bestselling author john odonohue open eye heart mind wonder relationship beauty exposing infinity mystery breadth word return u dignity silence profundity stillness power thought perception eternal grace generosity beauty presence masterful revelatory work odonohue encourages greater intimacy beauty celebrates really homecoming human spirit focus classical medieval celtic tradition art music literature nature language odonohue reveals beauty invisible embrace invite u toward new height passion creativity even uncertain time global conflict crisis,261,beauty,john o'donohue,2005,http://books.google.com/books/content?id=jXgjvZHnfF4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"body, mind & spirit",2361,26,
set liberia united state 1975 1991 darling story hannah musgrave political radical member weather underground hannah flees america west africa liberian husband become friend notorious warlord expresident charles taylor hannahs encounter taylor ultimately trigger series event whose momentum catch hannahs family grip force make heartrending choice,400,the darling,russell banks,2005,http://books.google.com/books/content?id=NlC2QKgJY4kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1121,26,
part memoir part study making philosopher selfportrait deeply intelligent mind develops life side atlantic making philosopher follows colin mcginn early year england reading descartes anselm year state first los angeles new york mcginn present contemporary academic take great philosophical figure twentieth century including bertrand russell jeanpaul sartre noam chomsky alongside story teacher informed idea often became friend mentor especially colorful aj ayer oxford mcginns prose always elegant probing student contemporary philosophy general reader alike absorb every page,256,the making of a philosopher,colin mcginn,2003,http://books.google.com/books/content?id=oJ5dL5OmXHMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,philosophy,2143,25,
classic study world leading expert language mind lucidly explains everything always wanted know language work child learn change brain computes envolved wit erudition deft use everyday example humor wordplay steven pinker weave vast knowledge language compelling story language human instinct wired brain evolution like web spinning spider sonar bat language instinct received william james book prize american psychological association public interest award linguistics society america,448,the language instinct,steven pinker,2000,http://books.google.com/books/content?id=NrXVUNbLaMUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,language arts & disciplines,1879,23,
barbara kingsolvers fifth novel hymn wildness celebrates prodigal spirit human nature nature weave together three story human love within larger tapestry life amid mountain farm southern appalachia course one humid summer novel intriguing protagonist face disparate predicament find connection one another flora fauna necessarily share place,444,prodigal summer,barbara kingsolver,2001,http://books.google.com/books/content?id=06IwGgtV5HMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2993,24,
eccentric mysterious naive jaded upandcoming downandout adventuresome withdrawn boarder russian hill share dissimilar world worry,371,tales of the city,armistead maupin,1989,http://books.google.com/books/content?id=yPXY8iMIekkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2145,20,
brilliant insightful work examines insecurity middle class attempt explain turn right past two decade fear falling trace myth middle class root ambition anxiety torment group led retreat responsible leadership role,292,fear of falling,barbara ehrenreich,1989,http://books.google.com/books/content?id=votxQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,social science,1993,21,
masterpiece historical narrative stretch ice age atomic age tell story europe east west norman davy capture allthe rise fall rome sweeping invasion alaric atilla norman conquest papal struggle power renaissance reformation french revolution napoleonic war europe rise become powerhouse world eclipse century following two devastating world war first major history europe give equal weight east west shine light fascinating minority community heretic leper gypsy jew muslim also take innovative approach combining traditional narrative unique feature help bring history alive 299 time capsule scattered narrative capture telling aspect era 12 snapshot offer panoramic look europe particular moment history full coverage eastern europe100 map diagram 72 blackandwhite platesall told davy europe represents one important illuminating history published recent year,1392,europe,norman davies,1998,http://books.google.com/books/content?id=4StZDvPCcJEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,history,1923,24,
national book awardwinning author jonathan kozol present shocking account american educational system stunning new york time bestseller sold 250000 hardcover copy,272,savage inequalities,jonathan kozol,1992,http://books.google.com/books/content?id=UEJ3QAukj9oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,education,1336,27,
national bestseller voted time 1 novel 1991 selected one best book 1991 publisher weekly nominated national book critic circle awarda magnificent story probe meaning love science music art brilliant author three farmer way dance,640,gold bug variations,richard powers,1992,http://books.google.com/books/content?id=Zesncyxxr5YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1838,29,
